H NuGrid yields Set1: set1.2
H Data prepared by: critter
H Data prepared date: 02 Feb 2016
H Elements: H, He, Li, B, C, N, O, F, Ne, Na, Mg, Al, Si, P, Pb, S, Cl, Ar, K, Ca, Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn, Ga, Ge, As, Se, Br, Kr, Rb, Sr, Y, Zr, Nb, Mo, Ru, Rh, Pd, Ag, Cd, In, Sn, Sb, Te, I, Xe, Cs, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, Ta, W, Re, Os, Ir, Pt, Au, Hg, Tl, Bi
H Number of metallicities: 1
H Units: Msun, year, erg
H Table: (M=15.0,Z=0.02)
H Lifetime: 1.302E+07
H Mfinal: 0.000E+00
&Isotopes &Yields    &X0        &Z 
&H        &6.526E+00 &7.065E-01 &1 
&He       &5.068E+00 &2.735E-01 &2 
&Li       &7.522E-11 &7.605E-11 &3 
&B        &4.284E-08 &2.856E-09 &5 
&C        &1.709E-01 &3.466E-03 &6 
&N        &5.004E-02 &1.063E-03 &7 
&O        &9.938E-01 &9.650E-03 &8 
&F        &4.808E-06 &5.611E-07 &9 
&Ne       &1.603E-01 &1.969E-03 &10
&Na       &5.055E-03 &4.000E-05 &11
&Mg       &4.568E-02 &7.521E-04 &12
&Al       &3.245E-03 &6.481E-05 &13
&Si       &3.080E-01 &8.112E-04 &14
&P        &1.139E-02 &7.106E-06 &15
&Pb       &2.111E-07 &1.503E-08 &82
&S        &2.767E-01 &4.233E-04 &16
&Cl       &5.693E-03 &9.127E-06 &17
&Ar       &3.982E-02 &9.779E-05 &18
&K        &1.143E-03 &4.196E-06 &19
&Ca       &1.520E-03 &7.475E-05 &20
&Sc       &1.750E-05 &5.414E-08 &21
&Ti       &3.933E-03 &4.081E-06 &22
&V        &3.630E-03 &4.148E-07 &23
&Cr       &2.075E-01 &1.980E-05 &24
&Mn       &2.882E-02 &1.098E-05 &25
&Fe       &8.065E-01 &1.438E-03 &26
&Co       &3.929E-02 &3.991E-06 &27
&Ni       &2.318E-01 &8.499E-05 &28
&Cu       &9.984E-03 &9.635E-07 &29
&Zn       &2.089E-03 &2.379E-06 &30
&Ga       &1.790E-05 &7.658E-08 &31
&Ge       &4.043E-05 &2.521E-07 &32
&As       &1.932E-06 &1.430E-08 &33
&Se       &1.493E-05 &1.439E-07 &34
&Br       &1.881E-06 &2.775E-08 &35
&Kr       &1.201E-05 &1.159E-07 &36
&Rb       &1.778E-06 &1.789E-08 &37
&Sr       &8.044E-06 &6.072E-08 &38
&Y        &6.420E-07 &1.229E-08 &39
&Zr       &1.023E-06 &3.026E-08 &40
&Nb       &4.798E-08 &1.900E-09 &41
&Mo       &1.110E-07 &7.123E-09 &42
&Ru       &8.066E-08 &5.563E-09 &44
&Rh       &1.363E-08 &1.055E-09 &45
&Pd       &6.661E-08 &4.342E-09 &46
&Ag       &1.980E-08 &1.526E-09 &47
&Cd       &8.268E-08 &5.388E-09 &48
&In       &8.496E-09 &6.175E-10 &49
&Sn       &2.021E-07 &1.334E-08 &50
&Sb       &1.479E-08 &1.112E-09 &51
&Te       &2.227E-07 &1.805E-08 &52
&I        &1.748E-08 &1.459E-09 &53
&Xe       &2.370E-07 &1.813E-08 &54
&Cs       &1.843E-08 &1.426E-09 &55
&Ba       &2.806E-07 &1.813E-08 &56
&La       &2.601E-08 &1.792E-09 &57
&Ce       &6.597E-08 &4.646E-09 &58
&Pr       &8.817E-09 &6.910E-10 &59
&Nd       &5.133E-08 &3.713E-09 &60
&Sm       &2.259E-08 &1.252E-09 &62
&Eu       &4.756E-09 &4.288E-10 &63
&Gd       &1.866E-08 &1.503E-09 &64
&Tb       &3.178E-09 &2.765E-10 &65
&Dy       &2.290E-08 &1.868E-09 &66
&Ho       &8.629E-09 &4.244E-10 &67
&Er       &1.602E-08 &1.213E-09 &68
&Tm       &2.200E-09 &1.854E-10 &69
&Yb       &1.642E-08 &1.255E-09 &70
&Lu       &2.725E-09 &1.877E-10 &71
&Hf       &1.037E-08 &7.799E-10 &72
&Ta       &2.333E-09 &1.986E-10 &73
&W        &9.512E-09 &7.159E-10 &74
&Re       &3.271E-09 &2.821E-10 &75
&Os       &4.434E-08 &3.712E-09 &76
&Ir       &4.078E-08 &3.666E-09 &77
&Pt       &9.380E-08 &7.596E-09 &78
&Au       &1.299E-08 &1.083E-09 &79
&Hg       &3.238E-08 &2.008E-09 &80
&Tl       &1.571E-08 &1.098E-09 &81
&Bi       &1.113E-08 &8.718E-10 &83
